순번_정류장ID,1-2800563,2-2807520,3-2807504,4-2803359,5-2803214,1-2801795,2-2801793,3-2801779,4-2801766,5-2801756,6-2801749,7-2801743,8-2801185,9-2801687,10-2801184,11-2801665,12-2801604,13-2801520,14-2801485,15-2801450,16-2804871,17-2801387,18-2801368,19-2801353,20-2801350,21-2801330,22-2801287,23-2801270,24-2801057,25-2801035,26-2801027,27-2800998,28-2800971,29-2800841,30-2800840,31-2800839,32-2800981,33-2800992,34-2800526,35-2800528,36-2800532,37-2800535,38-2800544,39-2804975,40-2800560,41-2800569,42-2807222,43-2800563,44-2806626,45-2807223,1-2800840,2-2800839,3-2800981,4-2800992,5-2800526,6-2800528,7-2800532,8-2800535,9-2800544,10-2804975,11-2800560,12-2800569,13-2807222,14-2800563,15-2807520,16-2807504,17-2803359,18-2803214,19-2805065
39-2804975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.334786,2.06518,2.396055,2.754584,3.3156410000000003,3.978754,5.195325,4.8913400000000005,4.565437,4.207819000000001,2.237625,1.9100400000000002,1.532585,1.116319,0.294475,0.0,1.334786,2.06518,2.396055,2.754584,5.072055000000001,14.80098,26.943584,27.122526,27.413088000000002
40-2800560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.731394,1.0622690000000001,1.420798,1.981855,2.644968,6.5291120000000005,6.226127,5.900223,5.542605,3.5724110000000002,3.2448259999999998,2.867371,2.451105,1.629262,1.334786,0.0,0.731394,1.0622690000000001,1.420798,3.7382690000000003,13.467194000000001,25.609798,25.78874,26.079301
41-2800569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.330875,0.689404,1.250461,1.913574,7.2605059999999995,6.956521,6.630617,6.2729989999999995,4.302805,3.9752199999999998,3.5977650000000003,3.181499,2.359656,2.06518,0.731394,0.0,0.330875,0.689404,3.006875,12.7358,24.878404,25.057346,25.347908
42-2807222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.358529,0.919586,1.582699,7.590380000000001,7.287396,6.961492,6.603874,4.63368,4.306095,3.92864,3.512374,2.69053,2.396055,1.0622690000000001,0.330875,0.0,0.358529,2.676001,12.404925,24.547529,24.726471,25.017032999999998
43-2800563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5610569999999999,1.22417,7.949909,7.645925,7.3200210000000006,6.962403,4.992209,4.664624,4.2871690000000005,3.8709029999999998,3.049059,2.754584,1.420798,0.689404,0.358529,0.0,2.317471,12.046396000000001,24.189,24.367942000000003,24.658504
44-2806626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.6631130000000001,8.509966,8.206980999999999,7.881078,7.523460000000001,5.553266000000001,5.225681,4.848226,4.43196,3.6101160000000005,3.3156410000000003,1.981855,1.250461,0.919586,0.5610569999999999,2.061098,11.790023,23.932627,24.111569,24.402131
45-2807223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.174078999999999,8.870094,8.544189999999999,8.186573,6.216378,5.888793,5.5113389999999995,5.095073,4.273229,3.978754,2.644968,1.913574,1.582699,1.22417,2.724211,12.453136,24.59574,24.774681,25.065243
1-2800840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.302985,0.629889,0.987507,2.959701,3.287286,3.6647410000000002,4.081007,4.90085,5.195325,6.530112,7.2605059999999995,7.59138,7.949909,10.267381,19.996305,32.138909000000005,32.317851,32.608413
2-2800839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.32590399999999997,0.6835220000000001,2.655716,2.983301,3.360756,3.777022,4.596865,4.8913400000000005,6.226127,6.956521,7.287396,7.645925,9.963396000000001,19.692320000000002,31.834923999999997,32.013866,32.304428
3-2800981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.357618,2.329813,2.657397,3.034852,3.451118,4.270962,4.565437,5.900223,6.630617,6.961492,7.3200210000000006,9.637492,19.366417000000002,31.509021,31.687962,31.978524
4-2800992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.9721950000000001,2.2997799999999997,2.677234,3.0935,3.9133440000000004,4.207819000000001,5.542605,6.2729989999999995,6.603874,6.962403,9.279874000000001,19.008799,31.151403000000002,31.330345,31.620906
5-2800526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.327585,0.70504,1.121306,1.9431490000000002,2.237625,3.5724110000000002,4.302805,4.63368,4.992209,7.30968,17.038605,29.181208,29.36015,29.650712
6-2800528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.37745500000000004,0.793721,1.615565,1.9100400000000002,3.2448259999999998,3.9752199999999998,4.306095,4.664624,6.982094999999999,16.71102,28.853623,29.032565,29.323127000000003
7-2800532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.41626599999999997,1.23811,1.532585,2.867371,3.5977650000000003,3.92864,4.2871690000000005,6.60464,16.333565,28.476169,28.655109999999997,28.945672
8-2800535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.821844,1.116319,2.451105,3.181499,3.512374,3.8709029999999998,6.188374,15.917299,28.059903000000002,28.238845,28.529405999999998
9-2800544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.294475,1.629262,2.359656,2.69053,3.049059,5.366531,15.095455,27.238059000000003,27.417001000000003,27.707563
10-2804975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.334786,2.06518,2.396055,2.754584,5.072055000000001,14.80098,26.943584,27.122526,27.413088000000002
11-2800560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.731394,1.0622690000000001,1.420798,3.7382690000000003,13.467194000000001,25.609798,25.78874,26.079301
12-2800569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.330875,0.689404,3.006875,12.7358,24.878404,25.057346,25.347908
13-2807222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.358529,2.676001,12.404925,24.547529,24.726471,25.017032999999998
14-2800563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.317471,12.046396000000001,24.189,24.367942000000003,24.658504
15-2807520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.798925,21.941529,22.12047,22.411032000000002
16-2807504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.142603999999999,12.321546000000001,12.612108000000001
17-2803359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.17894200000000002,0.469504
18-2803214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.290562
19-2805065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
