순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2800284,21-2800285,22-2803933,23-2800287,24-2800288,25-2804793,26-2800291,27-2807413,28-2800297,29-2800261
11-2804712,,,,,,,,,,,0,0.27315100000000003,0.546721,1.234394,2.137969,2.298464,2.848624,3.550917,3.992219,4.82743,5.266203,6.163588,7.478211,7.913538,8.334196,8.844399000000001,9.238451000000001,10.040422000000001,10.25969
12-2800276,,,,,,,,,,,,0,0.27357,0.961243,1.864818,2.025313,2.575473,3.277766,3.719068,4.554279,4.9930520000000005,5.890437,7.2050600000000005,7.6403870000000005,8.061045,8.571248,8.965300000000001,9.767271000000001,9.986539
13-2800277,,,,,,,,,,,,,0,0.687673,1.591248,1.751743,2.3019030000000003,3.0041960000000003,3.445498,4.280709,4.719482,5.616867,6.93149,7.366817,7.787475000000001,8.297678000000001,8.691730000000002,9.493701000000001,9.712969000000001
14-2803597,,,,,,,,,,,,,,0,0.903575,1.06407,1.61423,2.316523,2.757825,3.593036,4.031809,4.929194,6.243817,6.679144,7.099802,7.610005,8.004057,8.806028,9.025295999999999
15-2806642,,,,,,,,,,,,,,,0,0.160495,0.710655,1.412948,1.8542500000000002,2.689461,3.128234,4.025619,5.340242,5.775569,6.196227,6.70643,7.100482,7.902453,8.121721
16-2804030,,,,,,,,,,,,,,,,0,0.55016,1.252453,1.6937550000000001,2.528966,2.967739,3.865124,5.179747,5.615074,6.035731999999999,6.545934999999999,6.9399869999999995,7.7419579999999995,7.961225999999999
17-2800279,,,,,,,,,,,,,,,,,0,0.7022930000000001,1.1435950000000001,1.978806,2.417579,3.314964,4.629587,5.064914,5.4855719999999994,5.995774999999999,6.3898269999999995,7.1917979999999995,7.411065999999999
18-2804029,,,,,,,,,,,,,,,,,,0,0.441302,1.276513,1.7152859999999999,2.6126709999999997,3.927294,4.362621,4.783279,5.293482,5.687534,6.489505,6.708773
19-2800282,,,,,,,,,,,,,,,,,,,0,0.835211,1.273984,2.171369,3.4859919999999995,3.9213189999999996,4.341977,4.85218,5.246232,6.048203,6.267471
20-2800284,,,,,,,,,,,,,,,,,,,,0,0.43877299999999997,1.336158,2.650781,3.086108,3.506766,4.016969,4.411021,5.212992,5.432259999999999
21-2800285,,,,,,,,,,,,,,,,,,,,,0,0.897385,2.212008,2.647335,3.067993,3.578196,3.972248,4.774219,4.993487
22-2803933,,,,,,,,,,,,,,,,,,,,,,0,1.3146229999999999,1.74995,2.1706079999999996,2.6808109999999994,3.0748629999999992,3.8768339999999992,4.096101999999999
23-2800287,,,,,,,,,,,,,,,,,,,,,,,0,0.435327,0.855985,1.366188,1.76024,2.562211,2.781479
24-2800288,,,,,,,,,,,,,,,,,,,,,,,,0,0.420658,0.9308609999999999,1.324913,2.126884,2.346152
25-2804793,,,,,,,,,,,,,,,,,,,,,,,,,0,0.510203,0.904255,1.706226,1.925494
26-2800291,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.394052,1.196023,1.415291
27-2807413,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.801971,1.021239
28-2800297,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.219268
29-2800261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
